relative_path,filename,task,split,index,tumor_code,tumor_label,plane_code,plane_label,sequence,is_mask,linked_image,width,height,file_size_bytes,sha256
classification_task\test\glioma\brisc2025_test_00017_gl_ax_t1.jpg,brisc2025_test_00017_gl_ax_t1.jpg,classification,test,17,gl,glioma,ax,axial,T1,False,,512,512,21557,4e8198dde883bcdd41bc1b5ce936ff79eb3a8cfcb8827bcadd9c327e4de232e5
classification_task\test\glioma\brisc2025_test_00018_gl_ax_t1.jpg,brisc2025_test_00018_gl_ax_t1.jpg,classification,test,18,gl,glioma,ax,axial,T1,False,,512,512,20318,91e2aee97ba4249a173a8da29709dda1a74b525eb4d973ab4526bed1a953beff
classification_task\test\glioma\brisc2025_test_00019_gl_ax_t1.jpg,brisc2025_test_00019_gl_ax_t1.jpg,classification,test,19,gl,glioma,ax,axial,T1,False,,512,512,20501,fdba94b356e4831716f85a4908bec395a0c8e52d785d042e52ef332fd708fd0f
classification_task\test\glioma\brisc2025_test_00020_gl_ax_t1.jpg,brisc2025_test_00020_gl_ax_t1.jpg,classification,test,20,gl,glioma,ax,axial,T1,False,,512,512,18544,c008d45ee75483edda6c6b87ec7bfd53e818e0e569024173b324fbecb9453a2b
classification_task\test\glioma\brisc2025_test_00021_gl_ax_t1.jpg,brisc2025_test_00021_gl_ax_t1.jpg,classification,test,21,gl,glioma,ax,axial,T1,False,,512,512,17622,84c83365ba5787cf071768ffc8ab37780e46572b4626e98c24a0af0e02235a8a
classification_task\test\glioma\brisc2025_test_00022_gl_ax_t1.jpg,brisc2025_test_00022_gl_ax_t1.jpg,classification,test,22,gl,glioma,ax,axial,T1,False,,512,512,22832,7f213584ba4c3105cd350c1c223cff315928f31c065ed7de457aa6e201e591c3
classification_task\test\glioma\brisc2025_test_00023_gl_ax_t1.jpg,brisc2025_test_00023_gl_ax_t1.jpg,classification,test,23,gl,glioma,ax,axial,T1,False,,512,512,17305,328489dd932b3466be21ef4db70071954fbbe99ca52a0d98dc3b9bb954e4356d
classification_task\test\glioma\brisc2025_test_00024_gl_ax_t1.jpg,brisc2025_test_00024_gl_ax_t1.jpg,classification,test,24,gl,glioma,ax,axial,T1,False,,512,512,19743,4c5c0925010c5b236a21c7e93e3f2e5725e6e90f516cdbb2873f43f7f9c7eedf
classification_task\test\glioma\brisc2025_test_00025_gl_ax_t1.jpg,brisc2025_test_00025_gl_ax_t1.jpg,classification,test,25,gl,glioma,ax,axial,T1,False,,512,512,21424,63b32a97756de602d40a8d4ce936af773f0ebb50c68de982d5ac84cc940a3b53
classification_task\test\glioma\brisc2025_test_00026_gl_ax_t1.jpg,brisc2025_test_00026_gl_ax_t1.jpg,classification,test,26,gl,glioma,ax,axial,T1,False,,512,512,19209,88b07fe2565f4311da77f265199458f7496fbff6d46d85741a5d4842800d828b
classification_task\test\glioma\brisc2025_test_00027_gl_ax_t1.jpg,brisc2025_test_00027_gl_ax_t1.jpg,classification,test,27,gl,glioma,ax,axial,T1,False,,512,512,18000,e41a038d3be002107164bd5dac29c770784913a733d895a9c9a03dc32f113078
classification_task\test\glioma\brisc2025_test_00028_gl_ax_t1.jpg,brisc2025_test_00028_gl_ax_t1.jpg,classification,test,28,gl,glioma,ax,axial,T1,False,,512,512,16995,1b3346358d6b031bb4f685cf40826246e02487627ffdceb23091274333cd4e2e
classification_task\test\glioma\brisc2025_test_00029_gl_ax_t1.jpg,brisc2025_test_00029_gl_ax_t1.jpg,classification,test,29,gl,glioma,ax,axial,T1,False,,512,512,16913,77e9b3e882c6f0f8ac024c33dd50f0903cc907ce96a9b2150fd03c11b98a19d1
classification_task\test\glioma\brisc2025_test_00030_gl_ax_t1.jpg,brisc2025_test_00030_gl_ax_t1.jpg,classification,test,30,gl,glioma,ax,axial,T1,False,,512,512,14824,0de951286256834bd2ddc4e26fe9795265fc200a9f7c85af3fc707eb0bfc8803
classification_task\test\glioma\brisc2025_test_00031_gl_ax_t1.jpg,brisc2025_test_00031_gl_ax_t1.jpg,classification,test,31,gl,glioma,ax,axial,T1,False,,512,512,18846,fefb12d6ec3e6860e414835742f625f628be4559f3be5b6e6bfdbcdde9aa91fb
classification_task\test\glioma\brisc2025_test_00032_gl_ax_t1.jpg,brisc2025_test_00032_gl_ax_t1.jpg,classification,test,32,gl,glioma,ax,axial,T1,False,,512,512,20228,6fa70414d35ea183e1b0fb7cf43496b489352b94bc3868079dc173e4a46a5b97
classification_task\test\glioma\brisc2025_test_00033_gl_ax_t1.jpg,brisc2025_test_00033_gl_ax_t1.jpg,classification,test,33,gl,glioma,ax,axial,T1,False,,512,512,14967,add3639ad235b08ac82b01c9c18f277acfa9f4d0a614402f3843368eb17d9b53
classification_task\test\glioma\brisc2025_test_00034_gl_ax_t1.jpg,brisc2025_test_00034_gl_ax_t1.jpg,classification,test,34,gl,glioma,ax,axial,T1,False,,512,512,20738,a7dd4c37710b5b3d9e0dbfa2c0198577815691e477ecba18172cbb92068ff1b5
classification_task\test\glioma\brisc2025_test_00035_gl_ax_t1.jpg,brisc2025_test_00035_gl_ax_t1.jpg,classification,test,35,gl,glioma,ax,axial,T1,False,,512,512,20128,49391e2c2f1cfa6c79e0543973dad245e8771428de36628486665a27d93c6871
classification_task\test\glioma\brisc2025_test_00036_gl_ax_t1.jpg,brisc2025_test_00036_gl_ax_t1.jpg,classification,test,36,gl,glioma,ax,axial,T1,False,,512,512,16444,ce9d2e567f3f432253f857c7546baebc7331feeff271b105fa52992a2bc6a0da
classification_task\test\glioma\brisc2025_test_00037_gl_ax_t1.jpg,brisc2025_test_00037_gl_ax_t1.jpg,classification,test,37,gl,glioma,ax,axial,T1,False,,512,512,16372,c930a430dc434a7543254b3d082e9fbdf27b646cf8babdb06402524c7f67a896
classification_task\test\glioma\brisc2025_test_00038_gl_ax_t1.jpg,brisc2025_test_00038_gl_ax_t1.jpg,classification,test,38,gl,glioma,ax,axial,T1,False,,512,512,17023,f01b27f9deeee7616bfd709f323ac95b5b55a1d29db5aa83c62ccdc4b5fe1dad
classification_task\test\glioma\brisc2025_test_00039_gl_ax_t1.jpg,brisc2025_test_00039_gl_ax_t1.jpg,classification,test,39,gl,glioma,ax,axial,T1,False,,512,512,14845,e2a3a5edcdbf2de3d11a36d19e8ce37d729fb8d16005313643879ff33ccd0c38
classification_task\test\glioma\brisc2025_test_00040_gl_ax_t1.jpg,brisc2025_test_00040_gl_ax_t1.jpg,classification,test,40,gl,glioma,ax,axial,T1,False,,512,512,14841,95d80ee78fb58a0ad2e55530eee396b4bdad3069abbe8a266019b28aa76821db
classification_task\test\glioma\brisc2025_test_00041_gl_ax_t1.jpg,brisc2025_test_00041_gl_ax_t1.jpg,classification,test,41,gl,glioma,ax,axial,T1,False,,512,512,15217,da2cf44db9cf93878f855ed7da99793fc3cb9e92a31224c75a2bab4be1b1043f
classification_task\test\glioma\brisc2025_test_00042_gl_ax_t1.jpg,brisc2025_test_00042_gl_ax_t1.jpg,classification,test,42,gl,glioma,ax,axial,T1,False,,512,512,15944,bd0cf563b67031f7b78bbd044e9208e45cc54966b5572964c1273f268f892821
classification_task\test\glioma\brisc2025_test_00043_gl_ax_t1.jpg,brisc2025_test_00043_gl_ax_t1.jpg,classification,test,43,gl,glioma,ax,axial,T1,False,,512,512,15441,0fb5f45a7383c388d55ba7e1963e91890e57a9a3bd5e4baa1595ed0a087a21d5
classification_task\test\glioma\brisc2025_test_00044_gl_ax_t1.jpg,brisc2025_test_00044_gl_ax_t1.jpg,classification,test,44,gl,glioma,ax,axial,T1,False,,512,512,14186,d6d3f99d4249b326cbbac234c0be94db52fc63dbc3c49034631709310a7c75d2
classification_task\test\glioma\brisc2025_test_00045_gl_ax_t1.jpg,brisc2025_test_00045_gl_ax_t1.jpg,classification,test,45,gl,glioma,ax,axial,T1,False,,512,512,20387,b74d9fc4cd930a238caa2a932817a044f18cd379a6d1de24d9177234f50bc4dc
classification_task\test\glioma\brisc2025_test_00046_gl_ax_t1.jpg,brisc2025_test_00046_gl_ax_t1.jpg,classification,test,46,gl,glioma,ax,axial,T1,False,,512,512,17353,0090827701d28f35c51a3f54f7eea25d866d86909fa491aec8a12fb51c56eeb5
classification_task\test\glioma\brisc2025_test_00047_gl_ax_t1.jpg,brisc2025_test_00047_gl_ax_t1.jpg,classification,test,47,gl,glioma,ax,axial,T1,False,,512,512,14898,173221c93dc6dbda85f9b57fd1fbd8ceb58ddcdb215a8214dfbddb63c0dd5d81
classification_task\test\glioma\brisc2025_test_00048_gl_ax_t1.jpg,brisc2025_test_00048_gl_ax_t1.jpg,classification,test,48,gl,glioma,ax,axial,T1,False,,512,512,12635,3e8cf913cd2b815b87e28544866d64bbc9e62930640bb8ddca024997e90b9688
classification_task\test\glioma\brisc2025_test_00049_gl_ax_t1.jpg,brisc2025_test_00049_gl_ax_t1.jpg,classification,test,49,gl,glioma,ax,axial,T1,False,,512,512,18699,afc1027fa25ef07b153606553750cbcfe1cbcd800aad6e9f9d650dafeae8f6d3
classification_task\test\glioma\brisc2025_test_00050_gl_ax_t1.jpg,brisc2025_test_00050_gl_ax_t1.jpg,classification,test,50,gl,glioma,ax,axial,T1,False,,512,512,17294,f8bec64f8353df26bb4ea7aee12c74f9282adefc5844ad0f82e5f3e1b59ee7c1
classification_task\test\glioma\brisc2025_test_00051_gl_ax_t1.jpg,brisc2025_test_00051_gl_ax_t1.jpg,classification,test,51,gl,glioma,ax,axial,T1,False,,512,512,15355,378224b794dd5706f96d062359ff03f4a3729df2cdbc92584c6bcdb81f87dd26
classification_task\test\glioma\brisc2025_test_00052_gl_ax_t1.jpg,brisc2025_test_00052_gl_ax_t1.jpg,classification,test,52,gl,glioma,ax,axial,T1,False,,512,512,17907,c5c895a93cd898f06b137cccfbc4dfc6ab9bfad7b99956002fe98f5300b2cc6b
classification_task\test\glioma\brisc2025_test_00053_gl_ax_t1.jpg,brisc2025_test_00053_gl_ax_t1.jpg,classification,test,53,gl,glioma,ax,axial,T1,False,,512,512,13921,defb1bfdd706a647647eead7addcc2c9285dc9faf9da5f1841d5eb1eec3abec1
classification_task\test\glioma\brisc2025_test_00054_gl_ax_t1.jpg,brisc2025_test_00054_gl_ax_t1.jpg,classification,test,54,gl,glioma,ax,axial,T1,False,,512,512,14555,4b06be5d6000b7eba922e06c32ee96aaa79282741d14b504618d38c6e81d6781
classification_task\test\glioma\brisc2025_test_00055_gl_ax_t1.jpg,brisc2025_test_00055_gl_ax_t1.jpg,classification,test,55,gl,glioma,ax,axial,T1,False,,512,512,18634,89de729d4d8bc4bd54870a816f18f86e34e645c4e0bde61f03dfc7fd9bddfcab
classification_task\test\glioma\brisc2025_test_00056_gl_ax_t1.jpg,brisc2025_test_00056_gl_ax_t1.jpg,classification,test,56,gl,glioma,ax,axial,T1,False,,512,512,13688,b9771e729515d78dbfde511d4d068099ea2aea31cb405b6ce697515077ba912e
classification_task\test\glioma\brisc2025_test_00057_gl_ax_t1.jpg,brisc2025_test_00057_gl_ax_t1.jpg,classification,test,57,gl,glioma,ax,axial,T1,False,,512,512,17932,386e8bd9a11cda48528b3935a693eb04b89fee815e33d6d94b8c831885b54110
classification_task\test\glioma\brisc2025_test_00058_gl_ax_t1.jpg,brisc2025_test_00058_gl_ax_t1.jpg,classification,test,58,gl,glioma,ax,axial,T1,False,,512,512,15606,ab3ebe1e4c9b2ee0fc719c1eb440e370252a70497525ff3483e41e9ed41e9274
classification_task\test\glioma\brisc2025_test_00059_gl_ax_t1.jpg,brisc2025_test_00059_gl_ax_t1.jpg,classification,test,59,gl,glioma,ax,axial,T1,False,,512,512,13188,f291d0d24d256a7ca17123327c52d9cbfbeb1ff54abca38f0eb7529b6e2b06c6
classification_task\test\glioma\brisc2025_test_00060_gl_ax_t1.jpg,brisc2025_test_00060_gl_ax_t1.jpg,classification,test,60,gl,glioma,ax,axial,T1,False,,512,512,19094,8d7a6cd3978b725673255e56e1a7a7e8aa2048640420e9429e67a52becbd8e7d
classification_task\test\glioma\brisc2025_test_00061_gl_ax_t1.jpg,brisc2025_test_00061_gl_ax_t1.jpg,classification,test,61,gl,glioma,ax,axial,T1,False,,512,512,18720,331d8b9608c5739e494822c6cceaae79842eaf94b085785b7573a484270a2e25
classification_task\test\glioma\brisc2025_test_00062_gl_ax_t1.jpg,brisc2025_test_00062_gl_ax_t1.jpg,classification,test,62,gl,glioma,ax,axial,T1,False,,512,512,16152,178edaf959d0d23aa036436d6428c4750cad595224670317e2a5d1f945484a9c
classification_task\test\glioma\brisc2025_test_00063_gl_ax_t1.jpg,brisc2025_test_00063_gl_ax_t1.jpg,classification,test,63,gl,glioma,ax,axial,T1,False,,512,512,16190,038db1bbb4895f343f748f586df291c6ad85a6e9f33f4823cb179c1f57dd276d
classification_task\test\glioma\brisc2025_test_00064_gl_ax_t1.jpg,brisc2025_test_00064_gl_ax_t1.jpg,classification,test,64,gl,glioma,ax,axial,T1,False,,512,512,14735,faebaba9de577d49182c649be114e139afe3b4f839ce5504eacda361b7cf7c64
classification_task\test\glioma\brisc2025_test_00065_gl_ax_t1.jpg,brisc2025_test_00065_gl_ax_t1.jpg,classification,test,65,gl,glioma,ax,axial,T1,False,,512,512,18676,b86a24b6e5711a0565a731fb53a6a12f33f31b3e46ecad71c705aebdc5d0d29a
classification_task\test\glioma\brisc2025_test_00066_gl_ax_t1.jpg,brisc2025_test_00066_gl_ax_t1.jpg,classification,test,66,gl,glioma,ax,axial,T1,False,,512,512,17699,18c715076bb9685612be10f900e3eb10252e5dba93eb420613a64056d4aef86d
classification_task\test\glioma\brisc2025_test_00067_gl_ax_t1.jpg,brisc2025_test_00067_gl_ax_t1.jpg,classification,test,67,gl,glioma,ax,axial,T1,False,,512,512,15313,ca5396512f1f123a378f039ddbeaaa41e9bb091ef8fd3397e8385225b75bae86
classification_task\test\glioma\brisc2025_test_00068_gl_ax_t1.jpg,brisc2025_test_00068_gl_ax_t1.jpg,classification,test,68,gl,glioma,ax,axial,T1,False,,512,512,13453,cb0c965a4479579af7ed64dd9fae6e0b081981718fe097387f8f7e1c5b2bfc30
classification_task\test\glioma\brisc2025_test_00069_gl_ax_t1.jpg,brisc2025_test_00069_gl_ax_t1.jpg,classification,test,69,gl,glioma,ax,axial,T1,False,,512,512,13217,78cd99ecf8a6ec2a08c6ac1d90837bcdea52cded1ca298c8f6fadb74cef68bf1
classification_task\test\glioma\brisc2025_test_00070_gl_ax_t1.jpg,brisc2025_test_00070_gl_ax_t1.jpg,classification,test,70,gl,glioma,ax,axial,T1,False,,512,512,13104,db6513eb19dc0a645dacf29d5b628a951836077b3a3fcdcbeaead3890b20c113
classification_task\test\glioma\brisc2025_test_00071_gl_ax_t1.jpg,brisc2025_test_00071_gl_ax_t1.jpg,classification,test,71,gl,glioma,ax,axial,T1,False,,512,512,15020,4cfde810585be24684264f80eb7182aaba109b75a4028c6d288df6ea1a7c24a9
classification_task\test\glioma\brisc2025_test_00072_gl_ax_t1.jpg,brisc2025_test_00072_gl_ax_t1.jpg,classification,test,72,gl,glioma,ax,axial,T1,False,,512,512,20086,9528a4406086a7c69c4ba245d31ef2fa27607cd7c602bf88d25d556d1c429844
classification_task\test\glioma\brisc2025_test_00073_gl_ax_t1.jpg,brisc2025_test_00073_gl_ax_t1.jpg,classification,test,73,gl,glioma,ax,axial,T1,False,,512,512,19146,6e1d1d28c6d3d77256d639f1271a463d9bafd624538037753e378f44e7bc7296
classification_task\test\glioma\brisc2025_test_00074_gl_ax_t1.jpg,brisc2025_test_00074_gl_ax_t1.jpg,classification,test,74,gl,glioma,ax,axial,T1,False,,512,512,16033,83f890a5bfd0529e4dde75660e53be0603773bfb9a35a34f9387e78c362f6381
classification_task\test\glioma\brisc2025_test_00075_gl_ax_t1.jpg,brisc2025_test_00075_gl_ax_t1.jpg,classification,test,75,gl,glioma,ax,axial,T1,False,,512,512,16160,a5462a6482fb103a13bb51456ad6ade49f559d8e0aad0133c42d26d14dc191f5
classification_task\test\glioma\brisc2025_test_00076_gl_ax_t1.jpg,brisc2025_test_00076_gl_ax_t1.jpg,classification,test,76,gl,glioma,ax,axial,T1,False,,512,512,12937,2b707db51fdf0c36d3af329a79031bfc042f40d9fa2ba84769997926a4286b32
classification_task\test\glioma\brisc2025_test_00077_gl_ax_t1.jpg,brisc2025_test_00077_gl_ax_t1.jpg,classification,test,77,gl,glioma,ax,axial,T1,False,,512,512,17121,15da8d206da1a200043f206ded27ac7d06184a6844ac57e421e25fc2762666ea
classification_task\test\glioma\brisc2025_test_00078_gl_ax_t1.jpg,brisc2025_test_00078_gl_ax_t1.jpg,classification,test,78,gl,glioma,ax,axial,T1,False,,512,512,15393,70e474ef281ca6599c4b056661eb01689d22c574d3c4f44c526f74cc65e697fd
classification_task\test\glioma\brisc2025_test_00079_gl_ax_t1.jpg,brisc2025_test_00079_gl_ax_t1.jpg,classification,test,79,gl,glioma,ax,axial,T1,False,,512,512,15444,aa534a46f5ff81b25b693a369b046254af4850efa7fbcb272879f8af901b080d
classification_task\test\glioma\brisc2025_test_00080_gl_ax_t1.jpg,brisc2025_test_00080_gl_ax_t1.jpg,classification,test,80,gl,glioma,ax,axial,T1,False,,512,512,14798,8eb1ff1c0da0eec3cea9f28d274a099689c772eafe8cd586b4016fc844afb06a
classification_task\test\glioma\brisc2025_test_00081_gl_ax_t1.jpg,brisc2025_test_00081_gl_ax_t1.jpg,classification,test,81,gl,glioma,ax,axial,T1,False,,512,512,17974,38dd592ac3e66e5092d35e7fda1981522c489cd58662907c46abc3bc1e07abfe
classification_task\test\glioma\brisc2025_test_00082_gl_ax_t1.jpg,brisc2025_test_00082_gl_ax_t1.jpg,classification,test,82,gl,glioma,ax,axial,T1,False,,512,512,16694,6b693a41d8af737afdc7750b775244c3289750d35a271268b7bbb6a81c5f84dc
classification_task\test\glioma\brisc2025_test_00083_gl_ax_t1.jpg,brisc2025_test_00083_gl_ax_t1.jpg,classification,test,83,gl,glioma,ax,axial,T1,False,,512,512,14217,a98eaad5f17d44f5962e143f5eab48a56b037f889183615c726c26a72b9ef613
classification_task\test\glioma\brisc2025_test_00084_gl_ax_t1.jpg,brisc2025_test_00084_gl_ax_t1.jpg,classification,test,84,gl,glioma,ax,axial,T1,False,,512,512,13266,ed619d28481172e83b9ff7e6a73c99a53a0131ffec04abd0601ca86170c5845a
classification_task\test\glioma\brisc2025_test_00085_gl_ax_t1.jpg,brisc2025_test_00085_gl_ax_t1.jpg,classification,test,85,gl,glioma,ax,axial,T1,False,,512,512,16501,5a743e10f894f426ba66ad637f38cd9246dae2ab6c5ad688316df12d45c0c5fc
classification_task\test\glioma\brisc2025_test_00086_gl_co_t1.jpg,brisc2025_test_00086_gl_co_t1.jpg,classification,test,86,gl,glioma,co,coronal,T1,False,,512,512,29729,6674e11f2138d476e985e5ab20b8550b049c9bc205341a753a500ac2d420321e
classification_task\test\glioma\brisc2025_test_00087_gl_co_t1.jpg,brisc2025_test_00087_gl_co_t1.jpg,classification,test,87,gl,glioma,co,coronal,T1,False,,512,512,26013,bbafd834ec74fa3ee1962ca292dfc276e4bfa35e1dcab21f00dccd96d2f44420
classification_task\test\glioma\brisc2025_test_00088_gl_co_t1.jpg,brisc2025_test_00088_gl_co_t1.jpg,classification,test,88,gl,glioma,co,coronal,T1,False,,512,512,27701,451cac5ad16e74c6c11d640709f3a363726eeebeae98d0e13084b379b3fc37fa
classification_task\test\glioma\brisc2025_test_00089_gl_co_t1.jpg,brisc2025_test_00089_gl_co_t1.jpg,classification,test,89,gl,glioma,co,coronal,T1,False,,512,512,23105,d784375a34e6682f04ca096ef6c93e26911bac6f5923e8d5afd1c0b394e0d357
classification_task\test\glioma\brisc2025_test_00090_gl_co_t1.jpg,brisc2025_test_00090_gl_co_t1.jpg,classification,test,90,gl,glioma,co,coronal,T1,False,,512,512,21185,de35e5ddd6d87fdab88173a4a679df971caf213c1cbbda123d340cb49306def0
classification_task\test\glioma\brisc2025_test_00091_gl_co_t1.jpg,brisc2025_test_00091_gl_co_t1.jpg,classification,test,91,gl,glioma,co,coronal,T1,False,,512,512,24440,c1371cb4c85214082d5b9220b1538b3e7eff0051e085cb325ab4c05149517d36
classification_task\test\glioma\brisc2025_test_00092_gl_co_t1.jpg,brisc2025_test_00092_gl_co_t1.jpg,classification,test,92,gl,glioma,co,coronal,T1,False,,512,512,14824,0de951286256834bd2ddc4e26fe9795265fc200a9f7c85af3fc707eb0bfc8803
classification_task\test\glioma\brisc2025_test_00093_gl_co_t1.jpg,brisc2025_test_00093_gl_co_t1.jpg,classification,test,93,gl,glioma,co,coronal,T1,False,,512,512,24866,989de8b8b3ba83496e5ae82b259a88ded06a9c3eb6f661222ec53835cf8c1adf
classification_task\test\glioma\brisc2025_test_00094_gl_co_t1.jpg,brisc2025_test_00094_gl_co_t1.jpg,classification,test,94,gl,glioma,co,coronal,T1,False,,512,512,26379,7a25c9ff1ef14561ea1cd8c1cc7597ae2d9210b42f2fe1ac5a289e236f3bfcd1
classification_task\test\glioma\brisc2025_test_00095_gl_co_t1.jpg,brisc2025_test_00095_gl_co_t1.jpg,classification,test,95,gl,glioma,co,coronal,T1,False,,512,512,25004,e442eac193385a3830ab001b6fd63f7ee6437e179d7936b2747441b91e64f940
classification_task\test\glioma\brisc2025_test_00096_gl_co_t1.jpg,brisc2025_test_00096_gl_co_t1.jpg,classification,test,96,gl,glioma,co,coronal,T1,False,,512,512,25808,6584c508ad8274ed5c7f250e5b963a8b024e0a05feeb5013f432ff30c06e2b07
classification_task\test\glioma\brisc2025_test_00097_gl_co_t1.jpg,brisc2025_test_00097_gl_co_t1.jpg,classification,test,97,gl,glioma,co,coronal,T1,False,,512,512,25857,80465290633a2440682d01f9af00ee53fdb13c4495f7dc747919764564dbf19b
classification_task\test\glioma\brisc2025_test_00098_gl_co_t1.jpg,brisc2025_test_00098_gl_co_t1.jpg,classification,test,98,gl,glioma,co,coronal,T1,False,,512,512,24962,27ffbea1b951f589b9460431ec684ee55f36b0d8f415d0e9239b9ee874e808a4
classification_task\test\glioma\brisc2025_test_00099_gl_co_t1.jpg,brisc2025_test_00099_gl_co_t1.jpg,classification,test,99,gl,glioma,co,coronal,T1,False,,512,512,26032,0965f7c1f03c075eac60f7d4892f7cfc779c01ccf2fff694e92c2f2240898cee
classification_task\test\glioma\brisc2025_test_00100_gl_co_t1.jpg,brisc2025_test_00100_gl_co_t1.jpg,classification,test,100,gl,glioma,co,coronal,T1,False,,512,512,26755,b8cabb32395fbd9010ec802e4863b93d9ea997a77ebd5391c2ca11ea304ee9d3
classification_task\test\glioma\brisc2025_test_00101_gl_co_t1.jpg,brisc2025_test_00101_gl_co_t1.jpg,classification,test,101,gl,glioma,co,coronal,T1,False,,512,512,27446,eb4ccfc4d5d43ed05d9bb5c426c3559779465cbb2e97a6128ffa689e3797de48
classification_task\test\glioma\brisc2025_test_00102_gl_co_t1.jpg,brisc2025_test_00102_gl_co_t1.jpg,classification,test,102,gl,glioma,co,coronal,T1,False,,512,512,25509,d310e4edba1ff944a9a39a24e01bad1c7b8e7f033278de00b15b041704053f78
classification_task\test\glioma\brisc2025_test_00103_gl_co_t1.jpg,brisc2025_test_00103_gl_co_t1.jpg,classification,test,103,gl,glioma,co,coronal,T1,False,,512,512,25506,8a8e8d7c3362561c0da7910495f11d57713bd26a5d31571cd4e48711cc073fa6
