epoch,train_loss,val_loss,lr,imgsz,mask_ratio
36,0.25744535890785425,0.25827606758895644,0.0001,256,0.4
37,0.25923230608241166,0.2602044630232427,0.0001,256,0.4
38,0.26103034876109305,0.26182077792881403,0.0001,256,0.4
39,0.2628896405662755,0.26358624599788816,0.0001,256,0.4
40,0.26450213855324944,0.2652169662176275,0.0001,256,0.4
41,0.2661571606922605,0.26708346041063796,0.0001,256,0.4
42,0.26802408500013364,0.26851974971109605,0.0001,256,0.4
43,0.26943569638202225,0.27041275990509167,0.0001,256,0.4
44,0.2710453724254675,0.27178741728335504,0.0001,256,0.4
45,0.27265053807457224,0.27356578403991544,0.0001,256,0.4
46,0.2742352447562832,0.27511967996932957,0.0001,256,0.4
47,0.27581996315044893,0.27641825239721973,0.0001,256,0.4
48,0.2772863146421072,0.277947884578414,0.0001,256,0.4
49,0.2790222145415641,0.27946374891976694,0.0001,256,0.4
50,0.28012089081144104,0.2808718543873657,0.0001,256,0.4
51,0.28159610436716975,0.28232393528333616,0.0001,256,0.4
52,0.2829881791659114,0.28384175650500887,0.0001,256,0.4
53,0.28442201781159177,0.2849468015882233,0.0001,256,0.4
54,0.28577714436384,0.2865329382531676,0.0001,256,0.4
55,0.2872742154260887,0.28790461074139595,0.0001,256,0.4
56,0.2886101547599028,0.2892041196892798,0.0001,256,0.4
57,0.29002246851003793,0.29068549240559455,0.0001,256,0.4
58,0.29136250686190657,0.2926439834140913,0.0001,256,0.4
59,0.29287506442380823,0.29423390936669735,0.0001,256,0.4
60,0.29397436615393535,0.29455041722542447,0.0001,256,0.4
61,0.295292513889804,0.2958344071914159,0.0001,256,0.4
62,0.29653220629654176,0.29707651379905176,0.0001,256,0.4
63,0.29780210002617163,0.2983124250832476,0.0001,256,0.4
64,0.29906100627917365,0.2997452975304033,0.0001,256,0.4
65,0.3003319469089538,0.3008985420951698,0.0001,256,0.4
66,0.30145931539550685,0.3019106434291321,0.0001,256,0.4
67,0.3026485912940081,0.3031215217849654,0.0001,256,0.4
68,0.30382957886815637,0.30441370057332623,0.0001,256,0.4
69,0.30497663856879326,0.3056219388296522,0.0001,256,0.4
70,0.3062207267280603,0.30653534104439323,0.0001,256,0.4
71,0.30718474698938514,0.3079525723466425,0.0001,256,0.4
72,0.30831506462658154,0.30889309831010947,0.0001,256,0.4
73,0.30940047117788194,0.31020426185946,0.0001,256,0.4
74,0.3104709404640622,0.3112496356118892,0.0001,256,0.4
75,0.31160781264115595,0.31201100663732845,0.0001,256,0.4
76,0.31261209946937135,0.31303123344005745,0.0001,256,0.4
77,0.31365666965611977,0.3142046552373918,0.0001,256,0.4
78,0.31468761124557837,0.31537560408572834,0.0001,256,0.4
79,0.31571844492125395,0.31628732854711056,0.0001,256,0.4
80,0.3167500115540145,0.3175195441918573,0.0001,256,0.4
81,0.3177015959363674,0.3181098671168505,0.0001,256,0.4
82,0.31877333721788587,0.3191266494603139,0.0001,256,0.4
83,0.31962547825326604,0.3203381641165577,0.0001,256,0.4
84,0.32056480820493594,0.3210897557011402,0.0001,256,0.4
85,0.32155692886282794,0.321922763784474,0.0001,256,0.4
86,0.32249643349685425,0.3229623773576647,0.0001,256,0.4
87,0.32344537683435387,0.3237927023988818,0.0001,256,0.4
88,0.32437385436271826,0.32463040997142867,0.0001,256,0.4
89,0.3252118846759887,0.3255340036246192,0.0001,256,0.4
90,0.3261396710937088,0.32666869077173544,0.0001,256,0.4
91,0.32702500587047945,0.32750018651027996,0.0001,256,0.4
92,0.32784177320750224,0.3283134038066622,0.0001,256,0.4
93,0.32872756293164906,0.329620775606914,0.0001,256,0.4
94,0.3295731920316602,0.3305407696258007,0.0001,256,0.4
95,0.330414289852015,0.33091325124458254,0.0001,256,0.4
96,0.3312786000900693,0.33160654316257493,0.0001,256,0.4
97,0.3320613173877492,0.3324585987546089,0.0001,256,0.4
98,0.3328035294156764,0.3332287011788791,0.0001,256,0.4
99,0.33364967721823857,0.33392514051748806,0.0001,256,0.4
100,0.334406305534472,0.33491009227656954,0.0001,256,0.4
