image_path,mask_path,source_split,original_split,index,tumour_code,tumour_label,plane_code,plane_label,sequence,class_id,status,stratify_key,split,output_image_path,output_label_path,num_polygons,label_status
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00057_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00057_gl_ax_t1.png,train,train,57,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00057_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00057_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00128_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00128_gl_ax_t1.png,train,train,128,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00128_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00128_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00348_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00348_gl_ax_t1.png,train,train,348,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00348_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00348_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00101_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00101_gl_ax_t1.png,train,train,101,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00101_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00101_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00020_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00020_gl_ax_t1.png,train,train,20,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00020_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00020_gl_ax_t1.txt,3,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00350_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00350_gl_ax_t1.png,train,train,350,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00350_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00350_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00292_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00292_gl_ax_t1.png,train,train,292,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00292_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00292_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00248_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00248_gl_ax_t1.png,train,train,248,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00248_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00248_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00167_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00167_gl_ax_t1.png,train,train,167,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00167_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00167_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00149_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00149_gl_ax_t1.png,train,train,149,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00149_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00149_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00340_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00340_gl_ax_t1.png,train,train,340,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00340_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00340_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00316_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00316_gl_ax_t1.png,train,train,316,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00316_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00316_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00074_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00074_gl_ax_t1.png,train,train,74,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00074_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00074_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00372_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00372_gl_ax_t1.png,train,train,372,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00372_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00372_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00004_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00004_gl_ax_t1.png,train,train,4,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00004_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00004_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00261_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00261_gl_ax_t1.png,train,train,261,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00261_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00261_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00363_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00363_gl_ax_t1.png,train,train,363,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00363_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00363_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00311_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00311_gl_ax_t1.png,train,train,311,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00311_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00311_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00151_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00151_gl_ax_t1.png,train,train,151,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00151_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00151_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00172_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00172_gl_ax_t1.png,train,train,172,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00172_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00172_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00239_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00239_gl_ax_t1.png,train,train,239,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00239_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00239_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00133_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00133_gl_ax_t1.png,train,train,133,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00133_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00133_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00198_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00198_gl_ax_t1.png,train,train,198,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00198_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00198_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00116_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00116_gl_ax_t1.png,train,train,116,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00116_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00116_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00369_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00369_gl_ax_t1.png,train,train,369,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00369_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00369_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00034_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00034_gl_ax_t1.png,train,train,34,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00034_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00034_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00048_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00048_gl_ax_t1.png,train,train,48,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00048_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00048_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00179_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00179_gl_ax_t1.png,train,train,179,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00179_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00179_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00073_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00073_gl_ax_t1.png,train,train,73,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00073_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00073_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00227_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00227_gl_ax_t1.png,train,train,227,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00227_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00227_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00125_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00125_gl_ax_t1.png,train,train,125,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00125_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00125_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00235_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00235_gl_ax_t1.png,train,train,235,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00235_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00235_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00083_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00083_gl_ax_t1.png,train,train,83,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00083_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00083_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00249_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00249_gl_ax_t1.png,train,train,249,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00249_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00249_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00028_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00028_gl_ax_t1.png,train,train,28,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00028_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00028_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00265_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00265_gl_ax_t1.png,train,train,265,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00265_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00265_gl_ax_t1.txt,1,ok
D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\images\brisc2025_train_00296_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\raw\BRICS\brisc2025\segmentation_task\train\masks\brisc2025_train_00296_gl_ax_t1.png,train,train,296,gl,glioma,ax,axial,T1,0,ok,glioma_axial,train,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\images\train\brisc2025_train_00296_gl_ax_t1.jpg,D:\Brain Tumor Segmentation\data\processed\brisc_yolo_seg\labels\train\brisc2025_train_00296_gl_ax_t1.txt,1,ok
